itemName,calories,caloriesFat,totalFat,saturatedFat,transFat,cholesterol,sodium,totalCarbs,dietaryFiber,sugars,protein,menuType
Breakfast Crunchwrap - Bacon,650,370,41,12,0,145,"1,290",51,4,3,21,breakfast
Breakfast Crunchwrap - Sausage,690,410,45,14,0,150,"1,210",51,4,3,21,breakfast
Breakfast Crunchwrap - Steak,640,340,38,11,0,150,"1,290",51,4,3,24,breakfast
Breakfast Quesadilla - Bacon,510,260,28,13,0.5,160,"1,260",37,4,2,26,breakfast
Breakfast Quesadilla - Sausage,500,260,29,13,0.5,155,"1,100",37,3,2,24,breakfast
Breakfast Quesadilla - Steak,500,230,26,12,0.5,165,"1,260",38,3,2,29,breakfast
Breakfast Soft Taco - Bacon,230,120,14,5,0,120,560,15,1,1,12,breakfast
Breakfast Soft Taco - Egg & Cheese (V),170,80,9,3,0,105,330,15,<1,<1,7,breakfast
Breakfast Soft Taco - Sausage,230,130,14,5,0,115,400,15,<1,<1,9,breakfast
Cinnabon® Delights™ (2 Pack),160,80,9,2,0,5,80,17,0,10,2,breakfast
Cinnabon® Delights™ (4 Pack),310,160,18,4.5,0.5,15,160,35,<1,20,3,breakfast
Cinnabon® Delights™ (12 Pack - Serves 4),930,480,53,13,2,40,480,104,3,59,9,breakfast
Grande Scrambler Burrito - Bacon,650,300,33,9,0,225,"1,470",65,5,4,21,breakfast
Grande Scrambler Burrito - Sausage,640,310,34,9,0,220,"1,310",65,5,4,19,breakfast
Grande Scrambler Burrito - Steak,640,280,31,8,0,230,"1,480",65,5,4,24,breakfast
Grilled Breakfast Burrito - Bacon,350,150,17,4.5,0,115,890,37,2,3,13,breakfast
Grilled Breakfast Burrito - Fiesta Potato,340,130,14,3.5,0,100,780,43,3,3,10,breakfast
Grilled Breakfast Burrito - Sausage,340,160,17,5,0,110,730,36,2,3,11,breakfast
Hashbrown,160,100,12,1,0,0,270,13,2,0,1,breakfast
Iced Regular Coffee,10,0,0,0,0,0,0,0,0,0,2,breakfast
Mini Skillet Bowl,180,100,11,2,0,100,430,16,2,<1,5,breakfast
Mtn Dew® Kickstart™ Orange Citrus,70,0,0,0,0,0,75,18,0,18,0,breakfast
Nestle® Coffee-Mate™ Sweetened Original Creamer (1 portion creamer),25,10,1.5,1,0,0,0,3,0,3,0,breakfast
Rainforest Coffee,10,0,0,0,0,0,0,0,0,0,2,breakfast
Rainforest Coffee with Nestle® Coffee-Mate™ Sweetened Original Creamer (1 portion creamer),30,10,1.5,1,0,0,0,3,0,3,2,breakfast
Sausage Flatbread Quesadilla,330,160,18,6,0,120,520,27,2,3,14,breakfast
Tropicana® Orange Juice,140,0,0,0,0,0,20,33,<1,28,2,breakfast
Breakfast Soft Taco - Bacon,230,120,14,5,0,120,560,15,1,1,12,morning dollar value menu
Breakfast Soft Taco - Egg & Cheese (V),170,80,9,3,0,105,330,15,<1,<1,7,morning dollar value menu
Breakfast Soft Taco - Sausage,230,130,14,5,0,115,400,15,<1,<1,9,morning dollar value menu
Cinnabon® Delights™ (2 Pack),160,80,9,2,0,5,80,17,0,10,2,morning dollar value menu
Grilled Breakfast Burrito - Bacon,350,150,17,4.5,0,115,890,37,2,3,13,morning dollar value menu
Grilled Breakfast Burrito - Fiesta Potato,340,130,14,3.5,0,100,780,43,3,3,10,morning dollar value menu
Grilled Breakfast Burrito - Sausage,340,160,17,5,0,110,730,36,2,3,11,morning dollar value menu
Hashbrown,160,100,12,1,0,0,270,13,2,0,1,morning dollar value menu
Iced Regular Coffee,10,0,0,0,0,0,0,0,0,0,2,morning dollar value menu
Mini Skillet Bowl,180,100,11,2,0,100,430,16,2,<1,5,morning dollar value menu
Mtn Dew® Kickstart™ Orange Citrus,70,0,0,0,0,0,75,18,0,18,0,morning dollar value menu
Rainforest Coffee,10,0,0,0,0,0,0,0,0,0,2,morning dollar value menu
Rainforest Coffee with Nestle® Coffee-Mate™ Sweetened Original Creamer (1 portion creamer),30,10,1.5,1,0,0,0,3,0,3,2,morning dollar value menu
Sausage Flatbread Quesadilla,330,160,18,6,0,120,520,27,2,3,14,morning dollar value menu
7-Layer Burrito (V),420,140,15,6,0,15,970,58,8,4,13,burritos
Bean Burrito (V),350,80,9,3.5,0,5,"1,000",54,11,3,13,burritos
Beefy 5-Layer Burrito,490,160,18,7,0,30,"1,250",63,9,5,18,burritos
Beefy Fritos® Burrito,440,160,18,4.5,0,20,"1,000",57,5,3,13,burritos
Beefy Nacho Loaded Griller,370,130,15,4,0,20,820,48,5,3,12,burritos
Black Bean Burrito (V),370,100,11,4,0,10,950,56,7,2,12,burritos
Black Bean Quesarito (V),630,260,29,10,0,40,"1,260",73,7,5,19,burritos
Burrito Supreme® - Beef,390,130,14,6,0,30,"1,110",51,9,4,16,burritos
Burrito Supreme® - Chicken,370,100,11,4.5,0,35,"1,080",48,7,4,19,burritos
Burrito Supreme® - Steak,370,110,12,5,0,35,"1,090",49,7,4,18,burritos
Cheesy Bean & Rice Burrito (V),410,140,16,4,0,<5,880,56,7,3,10,burritos
Cheesy Potato Griller,340,110,13,3,0,5,780,50,3,3,8,burritos
Chili Cheese Burrito (regional),370,150,17,8,0.5,40,960,40,4,2,16,burritos
